Simulacao,Melhor Valor Encontrado,Gerações para Convergência,Avaliações Função Objetivo (Total),Multiplicações (Total),Divisões (Total),Avaliações (no Melhor Global),Multiplicações (no Melhor Global),Divisões (no Melhor Global)
1,-3293.1902432086963,50,1750,58718,10800,1050,34634,6369
2,-3308.154215204154,60,2100,70548,12960,1400,46450,8529
3,-3261.3414794313753,39,1365,45856,8424,665,21738,3993
4,-3308.24493793681,96,3360,112816,20736,2660,88716,16305
5,-3162.5038468561843,43,1505,50528,9288,805,26438,4857
6,-1796.8713785053667,21,735,24670,4536,35,560,105
7,-1757.5006835821778,27,945,31742,5832,245,7614,1401
8,-2807.1534403705277,21,735,24680,4536,35,560,105
9,-2870.7525636695186,33,1155,38760,7128,455,14650,2697
10,-3307.8109623999085,129,4515,151648,27864,3815,127570,23433
11,-3243.9635890259256,31,1085,36422,6696,385,12306,2265
12,-3308.251944969745,80,2800,94058,17280,2100,69942,12849
13,-3306.1741301985185,39,1365,45802,8424,665,21726,3993
14,-3257.2863106379414,41,1435,48150,8856,735,24044,4425
15,-1197.387347684554,21,735,24650,4536,35,560,105
16,-3308.1874638767144,63,2205,74034,13608,1505,49912,9177
17,-3307.6942835864156,44,1540,51700,9504,840,27582,5073
18,-3242.6551234334133,37,1295,43432,7992,595,19348,3561
19,-3308.0629966253696,64,2240,75208,13824,1540,51124,9393
20,-1763.3481659372928,42,1470,49332,9072,770,25232,4641
